time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,143.7273708,0.729999959,10.53749943,-0.523750007,90.36807523,23.73144375
1.72E+18,143.737625,0.079999998,10.30875015,-0.982499957,90.36807523,23.73144375
1.72E+18,143.7478792,-0.148749992,10.2699995,-1.211249948,90.36807523,23.73144375
1.72E+18,143.7581331,-0.224999994,10.11749935,-1.173749924,90.36807523,23.73144375
1.72E+18,143.768387,-0.224999994,9.811249733,-0.943749964,90.36807523,23.73144375
1.72E+18,143.7786411,-0.111249998,9.582499504,-0.561249971,90.36807523,23.73144375
1.72E+18,143.788894,0.15625,9.238749504,-0.217500001,90.36807523,23.73144375
1.72E+18,143.7991479,0.386249989,8.817500114,0.01125,90.36807523,23.73144375
1.72E+18,143.8094021,0.653750002,7.977499962,0.126249999,90.36807523,23.73144375
1.72E+18,143.819656,0.691249967,7.633749962,-0.026249999,90.36807523,23.73144375
1.72E+18,143.8299099,0.61500001,7.327499866,-0.217500001,90.36807523,23.73144375
1.72E+18,143.8401641,0.653750002,6.944999695,-0.638749957,90.36807523,23.73144375
1.72E+18,143.850418,0.691249967,6.639999866,-0.752499998,90.36807523,23.73144375
1.72E+18,143.8606721,0.61500001,6.639999866,-1.019999981,90.36807523,23.73144375
1.72E+18,143.870926,0.61500001,6.868749619,-1.058750033,90.36807523,23.73144375
1.72E+18,143.8811799,0.806249976,6.90749979,-1.058750033,90.36807523,23.73144375
1.72E+18,143.8914331,0.95874995,6.983749866,-0.943749964,90.36807523,23.73144375
1.72E+18,143.901687,1.30250001,6.983749866,-0.752499998,90.36807523,23.73144375
1.72E+18,143.9119409,1.876249909,7.022500038,-0.332499981,90.36807523,23.73144375
1.72E+18,143.9221951,2.028749943,7.174999714,-0.293749988,90.36807523,23.73144375
1.72E+18,143.932449,2.105000019,7.633749962,-0.217500001,90.36807523,23.73144375
1.72E+18,143.9427029,2.105000019,8.62749958,-0.217500001,90.36807523,23.73144375
1.72E+18,143.952957,2.067499876,9.123749733,-0.332499981,90.36807523,23.73144375
1.72E+18,143.9632109,1.876249909,9.697500229,-0.44749999,90.36807523,23.73144375
1.72E+18,143.9734648,1.799999952,10.23250008,-0.408749998,90.36807523,23.73144375
1.72E+18,143.983719,1.684999943,11.37874985,-0.103749998,90.36807523,23.73144375
1.72E+18,143.9939731,1.723749995,11.83624935,0.087499999,90.36807523,23.73144375
1.72E+18,144.0042258,1.799999952,12.14249992,0.087499999,90.36807202,23.7314549
1.72E+18,144.01448,1.837499976,12.5625,0.241249993,90.36807202,23.7314549
1.72E+18,144.0247341,1.837499976,12.5625,0.241249993,90.36807202,23.7314549
1.72E+18,144.0349878,2.028749943,12.52499962,0.278750002,90.36807202,23.7314549
1.72E+18,144.0452419,2.028749943,12.33374977,0.393749982,90.36807202,23.7314549
1.72E+18,144.0554961,1.799999952,12.02750015,0.469999999,90.36807202,23.7314549
1.72E+18,144.06575,1.723749995,11.79874992,0.546249986,90.36807202,23.7314549
1.72E+18,144.0760039,1.723749995,11.75999928,0.546249986,90.36807202,23.7314549
1.72E+18,144.0862581,1.226249933,12.37125015,0.317499995,90.36807202,23.7314549
1.72E+18,144.0965122,1.034999967,12.63875008,0.087499999,90.36807202,23.7314549
1.72E+18,144.1067659,0.997500002,12.37125015,-0.141249999,90.36807202,23.7314549
1.72E+18,144.117019,1.264999986,11.60750008,-0.293749988,90.36807202,23.7314549
1.72E+18,144.1272732,1.761250019,9.65874958,-0.332499981,90.36807202,23.7314549
1.72E+18,144.1375269,2.028749943,8.97124958,-0.103749998,90.36807202,23.7314549
1.72E+18,144.147781,2.105000019,8.092499733,0.163749993,90.36807202,23.7314549
1.72E+18,144.1580352,1.837499976,8.588749886,1.120000005,90.36807202,23.7314549
1.72E+18,144.1682888,1.569999933,9.582499504,1.539999962,90.36807202,23.7314549
1.72E+18,144.178543,1.30250001,10.65250015,1.731249928,90.36807202,23.7314549
1.72E+18,144.1887971,0.691249967,11.75999928,1.233749986,90.36807202,23.7314549
1.72E+18,144.1990508,-0.875,13.86249924,-0.026249999,90.36807202,23.7314549
1.72E+18,144.2093049,-1.33375001,14.35874939,-0.44749999,90.36807202,23.7314549
1.72E+18,144.2195581,-1.409999967,14.31999969,-0.676249981,90.36807202,23.7314549
1.72E+18,144.229812,-1.142499924,13.17374992,-0.371250004,90.36807202,23.7314549
1.72E+18,144.2400659,-0.798749983,12.18124962,0.278750002,90.36807202,23.7314549
1.72E+18,144.2503201,-0.30249998,11.1875,0.928749979,90.36807202,23.7314549
1.72E+18,144.260574,0.27124998,10.34624958,1.387499928,90.36807202,23.7314549
1.72E+18,144.2708279,0.577499986,9.199999809,1.387499928,90.36807202,23.7314549
1.72E+18,144.281082,0.538749993,8.894999504,0.852499962,90.36807202,23.7314549
1.72E+18,144.2913362,0.423749983,8.894999504,0.393749982,90.36807202,23.7314549
1.72E+18,144.3015898,0.347499996,8.664999962,-0.064999998,90.36807202,23.7314549
1.72E+18,144.311844,0.5,8.550000191,-0.141249999,90.36807202,23.7314549
