,time,x,y,z,Latitude,Longitude
240,2.400454688,-0.740499973,-2.523000002,1.340499997,23.7672983,90.3525539
241,2.410459375,-1.80129993,-2.778100014,-1.236999989,23.7674572,90.3526009
242,2.420454688,-2.653599977,-2.326900005,-2.251099825,23.7673983,90.3526042
243,2.430454688,-2.951400042,-1.354499936,-2.341599941,23.7673612,90.3526173
244,2.440453125,-1.799499989,-1.021299958,-3.333699942,23.7673391,90.3526213
245,2.450454688,-0.978999972,-0.981700003,-3.611799955,23.767363,90.3526615
246,2.460460938,-0.965399981,-1.447600007,-2.578699827,23.7673879,90.3527289
247,2.47045625,-0.861799955,-1.933599949,-2.534800053,23.7673974,90.3527531
248,2.480454688,-0.422399998,-2.020799875,-2.353699923,23.7659537,90.3570178
249,2.49045625,0.20539999,-2.204200029,-2.504499912,23.7659521,90.3570433
250,2.500454688,0.470999986,-2.696699858,-3.522599936,23.7659687,90.35705
251,2.510503125,-0.204099998,-3.611799955,-5.443199635,23.7659561,90.35706
252,2.520451563,-1.631500006,-4.219299793,-6.142199993,23.7659537,90.3570778
253,2.530451563,-2.428499937,-4.554199696,-5.518199921,23.7659598,90.3570996
254,2.540453125,-2.596199989,-4.761899948,-4.12349987,23.7659564,90.3571207
255,2.55049375,-2.743399858,-4.764699936,-2.985299826,23.7659577,90.3571412
256,2.560467188,-2.448400021,-4.411399841,-2.247799873,23.7659764,90.3571311
257,2.570454688,-1.362999916,-3.965399981,-2.073899984,23.7659632,90.3571361
258,2.580496875,0.431499988,-3.514899969,-3.429699898,23.7659589,90.3571482
259,2.59045625,1.782599926,-2.933899879,-4.21639967,23.7659761,90.3571542
260,2.600454688,2.265799999,-1.688599944,-4.379399776,23.7659656,90.3571596
261,2.610510938,1.845099926,1.383399963,-3.106699944,23.7659666,90.357174
262,2.620454688,1.758700013,5.316799641,-1.138399959,23.7659604,90.3571837
263,2.630453125,1.681499958,8.976599693,-0.834499955,23.7659638,90.3571663
264,2.640495313,1.65989995,10.46509933,-1.845799923,23.7659663,90.3571811
265,2.65045625,0.533699989,10.06309986,-3.097699881,23.7659718,90.3572223
266,2.660467188,0.024899999,7.963599682,-1.330899954,23.7659653,90.3572377
267,2.670496875,1.441599965,4.734699726,0.472799987,23.7659678,90.3572535
268,2.680454688,2.738999844,1.967599988,0.133399993,23.7659791,90.3572528
269,2.690451563,2.655599833,1.501599908,-0.320299983,23.765965,90.3572659
270,2.700454688,1.533100009,2.931900024,3.842499971,23.765966,90.3572823
271,2.710498438,1.528599977,3.625299931,6.952699661,23.7659822,90.357287
272,2.720451563,3.654999971,3.433899879,7.135699749,23.7673888,90.3527293
273,2.730451563,5.44659996,3.019500017,5.240200043,23.767406,90.3527785
274,2.740453125,5.526899815,2.381099939,3.115099907,23.7674195,90.3528171
275,2.75049375,4.51940012,1.407999992,1.785899997,23.7674225,90.3528748
276,2.760464063,2.838500023,0.452999979,0.123799995,23.7674284,90.3529224
277,2.770453125,1.215199947,-0.140299991,-1.814799905,23.7674437,90.3529854
278,2.780457813,-0.204399988,-0.162399992,-2.207900047,23.7674603,90.3530313
279,2.790190625,-1.255199909,0.417999983,-1.414399981,23.7674729,90.3530937
280,2.800453125,-1.003899932,0.816299975,-0.836600006,23.7674824,90.3531732
281,2.810464063,0.367899984,1.403199911,0.066199996,23.7674861,90.3531896
282,2.820454688,-0.211999998,2.419699907,0.722000003,23.7674839,90.3532003
283,2.830451563,-1.369400024,3.040899992,-0.031099999,23.7674885,90.3532054
284,2.840454688,-1.827299953,2.905799866,-0.969500005,23.767494,90.3532154
285,2.850451563,-1.879099965,2.689999819,-0.376899988,23.7674928,90.3532228
286,2.860464063,-1.968799949,3.125299931,1.479900002,23.76749,90.3532295
287,2.870453125,-2.836899996,4.24669981,2.082499981,23.767491,90.3532359
288,2.880495313,-3.646399975,5.217299938,0.985300005,23.7675005,90.3532503
289,2.890454688,-2.604599953,5.371399879,1.715999961,23.7674925,90.353264
290,2.900454688,-1.154199958,4.955499649,3.473899841,23.7674971,90.3532791
291,2.910454688,-0.350499988,4.385499954,4.287499905,23.7675026,90.3532838
292,2.920495313,0.215700001,3.539499998,3.4526999,23.7674962,90.3532986
293,2.930451563,0.629499972,2.18479991,1.416700006,23.7675023,90.353313
294,2.940454688,1.052699924,0.447799981,-0.773699999,23.7675048,90.35332
295,2.950454688,1.551999927,-0.802899957,-3.363099813,23.7675032,90.3533331
296,2.960498438,1.716199994,-1.001699924,-6.683899879,23.7675094,90.3533485
297,2.970453125,1.728999972,0.0142,-8.970999718,23.7675069,90.3533586
298,2.980454688,1.914599895,1.484899998,-7.433699608,23.7675118,90.3533693
299,2.990495313,2.107499838,2.856899977,-1.949699998,23.7675115,90.3533797
300,3.000451563,3.418200016,2.710599899,5.061899662,23.7675189,90.3533898
301,3.010457813,5.173799992,1.503099918,10.02859974,23.7675167,90.3534022
302,3.020496875,6.104499817,0.922499955,9.88999939,23.767518,90.3534126
303,3.030454688,5.123099804,1.046999931,5.780900002,23.7675216,90.353426
304,3.040454688,3.527999878,1.221199989,1.049700022,23.7675296,90.3534323
305,3.050454688,1.807799935,1.033499956,-3.095799923,23.7675247,90.3534488
306,3.060504688,-0.194399998,0.480199993,-5.413099766,23.7675247,90.3534665
307,3.070453125,-1.814299941,-0.123999998,-5.425999641,23.7675266,90.353484
308,3.080453125,-3.056200027,-0.504400015,-3.856299877,23.7675315,90.353496
309,3.090601563,-3.387199879,-0.643299997,-2.459800005,23.7675351,90.3535074
310,3.100645313,-2.689800024,-0.825499952,-1.953999996,23.7672498,90.3537572
311,3.110460938,-1.979099989,-1.081200004,-2.258499861,23.7672483,90.3537736
312,3.120453125,-1.958699942,-1.72329998,-3.692399979,23.7672544,90.3537877
